City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
225,Baley,RU,48.74,8/28/2020 22:57,51.6,116.63,Barak-5
226,Presidencia Roque Saenz Pena,AR,72.82,8/28/2020 22:55,-26.79,-60.44,Hotel Aconcagua
227,Hearst,CA,67.14,8/28/2020 22:58,49.68,-83.67,Companion
228,Kailua,US,87.8,8/28/2020 22:58,21.4,-157.74,Sheffield House Bed & Breakfast
229,Takoradi,GH,74.52,8/28/2020 22:58,4.88,-1.76,Raybow International Hotel
230,Ust-Karsk,RU,52.11,8/28/2020 22:58,52.7,118.81,
231,Waynesville,US,73.0,8/28/2020 22:58,35.49,-82.99,Best Western Smoky Mountain Inn
232,Egham,GB,53.01,8/28/2020 22:58,51.43,-0.55,Mercure London Staines upon Thames Hotel
233,Myitkyina,MM,73.45,8/28/2020 22:58,25.38,97.4,Shwe Phyu Hotel
234,Khorixas,,42.73,8/28/2020 22:55,-20.37,14.97,Khorixas Lodge
235,Samarinda,ID,74.86,8/28/2020 22:58,-0.5,117.15,Aston Samarinda Hotel & Convention Center
236,Ipaussu,BR,69.12,8/28/2020 22:58,-23.06,-49.63,Hotel das Garças
237,Cedar City,US,91.4,8/28/2020 22:58,37.68,-113.06,Hampton Inn Cedar City
238,San Patricio,MX,86.0,8/28/2020 22:54,19.22,-104.7,Hotel Cabo Blanco
239,Vao,NC,68.9,8/28/2020 22:58,-22.67,167.48,Hotel Kou-Bugny
240,Saint-Francois,FR,59.0,8/28/2020 22:58,46.42,3.91,Manoir Du Bonheur
241,Saint-Augustin,CA,53.4,8/28/2020 22:55,51.23,-58.65,
242,Doha,QA,93.99,8/28/2020 22:54,25.29,51.53,Movenpick Hotel Doha
243,Macamic,CA,62.6,8/28/2020 22:58,48.75,-79.0,"Maison Tardif Enr. - Auberge à Macamic, QC"
244,Severo-Kurilsk,RU,52.79,8/28/2020 22:58,50.68,156.12,Kak Doma
245,Hailar,CN,51.01,8/28/2020 22:58,49.2,119.7,Holiday Inn & Suites Hulunbuir
246,Olafsvik,IS,51.85,8/28/2020 22:55,64.89,-23.71,Hotel Olafsvik
247,Launceston,AU,55.0,8/28/2020 22:58,-41.45,147.17,Hotel Grand Chancellor Launceston
248,Chebenki,RU,57.2,8/28/2020 22:58,51.93,55.71,
249,Klaksvik,FO,46.4,8/28/2020 22:58,62.23,-6.59,Geilin Bed & Breakfast
250,Khani,GE,66.2,8/28/2020 22:57,41.96,42.96,კურორტი ზეკარი/Resort Zekari
251,Guerrero Negro,MX,84.81,8/28/2020 22:58,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
252,Tual,ID,79.36,8/28/2020 22:58,-5.67,132.75,Grand Vilia Hotel
253,Edea,CM,73.4,8/28/2020 22:58,3.8,10.13,Micotel Hotel
254,Ballitoville,ZA,62.6,8/28/2020 22:58,-29.54,31.21,Hotel Fairmont Zimbali Resort
255,Iqaluit,CA,51.8,8/28/2020 22:58,63.75,-68.51,Frobisher Inn
256,Tavda,RU,56.62,8/28/2020 22:58,58.04,65.27,The hotel is number 1
257,Bytow,PL,59.0,8/28/2020 22:58,54.17,17.49,Centrum UŁAN SPA
258,Yangjiang,CN,79.21,8/28/2020 22:58,21.85,111.97,HUALUXE Yangjiang City Center
259,Sioux Lookout,CA,66.2,8/28/2020 22:54,50.1,-91.92,Knobby's Fly-In Camps
260,Huambo,AO,57.22,8/28/2020 22:58,-12.78,15.74,SiSHotel
261,Dillon,US,91.0,8/28/2020 22:58,34.42,-79.37,Dillon Express Inn
262,Peleduy,RU,58.93,8/28/2020 22:58,59.63,112.74,Гостиница «Уют»
263,Estelle,US,90.0,8/28/2020 22:58,29.85,-90.11,Comfort Inn Marrero - New Orleans West
264,Ridgecrest,US,100.99,8/28/2020 22:54,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
265,Blythe,US,113.0,8/28/2020 22:58,33.61,-114.6,Rodeway Inn & Suites
266,Makakilo City,US,89.6,8/28/2020 22:58,21.35,-158.09,Marriott's Ko Olina Beach Club
267,Huanren,CN,70.84,8/28/2020 22:58,41.26,125.37,Dynasty Wunvshan Ice Chateau
268,Kargopol,RU,52.38,8/28/2020 22:58,61.51,38.95,Moroshka Inn
269,Nymburk,CZ,63.0,8/28/2020 22:58,50.19,15.04,Hotel Ostrov
270,Miyako,JP,84.54,8/28/2020 22:58,39.64,141.95,Hotel Route Inn Miyako
271,Tarancon,ES,73.99,8/28/2020 22:58,40.01,-3.01,hotel castilla
272,Coihaique,CL,33.8,8/28/2020 22:58,-45.58,-72.07,Diego De Almagro Coyhaique
273,Smithers,CA,59.0,8/28/2020 22:57,54.78,-127.17,Prestige Hudson Bay Lodge
274,Fare,PF,77.13,8/28/2020 22:58,-16.7,-151.02,Maitai Lapita Village Huahine
275,Kabo,CF,70.77,8/28/2020 22:58,7.7,18.63,
276,Digha,IN,81.34,8/28/2020 22:58,21.68,87.55,Khoniker Atithi
277,Norman Wells,CA,51.8,8/28/2020 22:57,65.28,-126.83,Heritage Hotel
278,Conceicao Do Araguaia,BR,85.51,8/28/2020 22:58,-8.26,-49.26,Tarumã Tropical Hotel
279,Manokwari,ID,79.66,8/28/2020 22:59,-0.87,134.08,Swiss Belhotel Manokwari
280,Krasnoselkup,RU,51.15,8/28/2020 22:59,65.7,82.47,Krasnosel'kupnefteprodukt
281,Vestmanna,FO,46.4,8/28/2020 22:56,62.16,-7.17,Budget Guesthouse Borgustova
282,Oranjemund,,54.61,8/28/2020 22:59,-28.55,16.43,Fisherman's Cove
